id,municipio_id,clave,nombre,latitud,longitud,altitud,carta,ambito,poblacion,masculino,femenino,viviendas,lat,lng,activo,nombre_municipio,nombre_estado,estado_id
164088,953,1,Abasolo,255643.215,1002359.958,502,G14C15,U,1976,1005,971,529,25.9453375,-100.3999883,1,Abasolo,Nuevo León,19
164089,953,8,La Gloria,255614.103,1002248.748,499,G14C15,R,7,0,0,1,25.9372508,-100.3802078,1,Abasolo,Nuevo León,19
164090,953,9,Los Ligeros,255557.079,1002339.742,504,G14C15,R,3,0,0,1,25.9325219,-100.3943728,1,Abasolo,Nuevo León,19
164091,953,11,La Muralla,255618.56,1002352.699,500,G14C15,R,4,0,0,2,25.9384889,-100.3979719,1,Abasolo,Nuevo León,19
164092,953,12,Seis de Enero (Las Bugambilias),255659.312,1002426.446,509,G14C15,R,0,0,0,0,25.9498089,-100.4073461,1,Abasolo,Nuevo León,19
164093,953,15,Seis de Enero,255703.625,1002431.141,521,G14C15,R,0,0,0,0,25.9510069,-100.4086503,1,Abasolo,Nuevo León,19
164094,953,17,San José del Chupadero,255800.104,1002412.21,581,G14C15,R,0,0,0,0,25.9666956,-100.4033917,1,Abasolo,Nuevo León,19
164095,953,19,Rancho Nuevo,255734.918,1002507.553,513,G14C15,R,0,0,0,0,25.9596994,-100.4187647,1,Abasolo,Nuevo León,19
164096,953,21,Abasolito,255617.758,1002434.293,524,G14C15,R,22,10,12,5,25.9382661,-100.4095258,1,Abasolo,Nuevo León,19
164097,953,25,Casa Rosa (Los Olivos),255647.496,1002411.141,503,G14C15,R,6,0,0,1,25.9465267,-100.4030947,1,Abasolo,Nuevo León,19
164098,953,28,Guadalupe,255618.962,1002256.99,493,G14C15,R,0,0,0,0,25.9386006,-100.3824972,1,Abasolo,Nuevo León,19
164099,953,30,El Pedregal,255613.395,1002246.304,492,G14C15,R,0,0,0,0,25.9370542,-100.3795289,1,Abasolo,Nuevo León,19
164100,953,31,La Eréndira,255727.092,1002453.316,517,G14C15,R,0,0,0,0,25.9575256,-100.41481,1,Abasolo,Nuevo León,19
164101,953,33,Yamallel,255634.123,1002543.057,582,G14C15,R,4,0,0,2,25.9428119,-100.4286269,1,Abasolo,Nuevo León,19
164102,953,36,Los Lozano,255714.095,1002437.646,515,G14C15,R,2,0,0,1,25.9539153,-100.4104572,1,Abasolo,Nuevo León,19
164103,953,37,La Placeta,255707.334,1002434.581,512,G14C15,R,4,0,0,1,25.9520372,-100.4096058,1,Abasolo,Nuevo León,19
164104,953,39,Veintitrés de Enero,255733.168,1002505.138,520,G14C15,R,0,0,0,0,25.9592133,-100.4180939,1,Abasolo,Nuevo León,19
164105,953,40,Cuatro Vientos,255618.902,1002309.828,489,G14C15,R,4,0,0,1,25.9385839,-100.3860633,1,Abasolo,Nuevo León,19
164106,953,42,Los Diez (La Tripona),255715.078,1002520.884,511,G14C15,R,5,0,0,1,25.9541883,-100.4224678,1,Abasolo,Nuevo León,19
164107,953,43,Rosalinda,255740.243,1002500.805,521,G14C15,R,0,0,0,0,25.9611786,-100.4168903,1,Abasolo,Nuevo León,19
164108,953,44,Las Palmas,255654.354,1002458.639,502,G14C15,R,4,0,0,1,25.9484317,-100.4162886,1,Abasolo,Nuevo León,19
164109,953,45,Ninguno,255639.447,1002251.464,515,G14C15,R,0,0,0,0,25.9442908,-100.3809622,1,Abasolo,Nuevo León,19
164110,953,46,Colinas del Fraile,255711.58,1002542.903,545,G14C15,R,34,17,17,8,25.9532167,-100.4285842,1,Abasolo,Nuevo León,19
164111,953,47,Alberto Villarreal,255641.723,1002444.756,507,G14C15,R,716,352,364,187,25.9449231,-100.4124322,1,Abasolo,Nuevo León,19
164112,954,1,Agualeguas,261839.293,993221.801,176,G14A78,U,1995,1007,988,669,26.3109147,-99.5393892,1,Agualeguas,Nuevo León,19
