TIENDA_ID,PLAZA_CVE,NIVELSOCIOECONOMICO_DES,ENTORNO_DES,MTS2VENTAS_NUM,PUERTASREFRIG_NUM,CAJONESESTACIONAMIENTO_NUM,LATITUD_NUM,LONGITUD_NUM,SEGMENTO_MAESTRO_DESC,LID_UBICACION_TIENDA,DATASET,nombre,nombre_municipio,nombre_estado,carta,ambito,poblacion,masculino,femenino,viviendas
126,1,BC,Hogar,127.42,13,7,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN,Las Escobas,Guadalupe,Nuevo León,G14C26,R,5,0,0,1
681,1,C,Hogar,128.13,13,0,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,TRAIN,Quinta Cien,Apodaca,Nuevo León,G14C26,R,0,0,0,0
117,1,C,Base,87.62,11,11,25.71883,-100.19133,Hogar Reunión,UT_DENSIDAD,TRAIN,Ninguno,Apodaca,Nuevo León,G14C26,R,0,0,0,0
682,1,C,Hogar,90.7,13,0,25.66952,-100.20744,Hogar Reunión,UT_DENSIDAD,TRAIN,Las Escobas,Guadalupe,Nuevo León,G14C26,R,5,0,0,1
275,1,C,Hogar,95.3,13,6,25.73766,-100.16116,Hogar Reunión,UT_DENSIDAD,TRAIN,Quinta Cien,Apodaca,Nuevo León,G14C26,R,0,0,0,0
684,1,C,Base,116.07,13,0,25.70486,-100.15613,Oficinistas,UT_GAS_URBANA,TRAIN,Los Doctores,Guadalupe,Nuevo León,G14C26,R,0,0,0,0
694,1,C,Receso,78.48,13,0,25.67955,-100.24328,Oficinistas,UT_TRAFICO_PEATONAL,TRAIN,Guadalupe,Guadalupe,Nuevo León,G14C26,U,673616,334519,339097,171149
272,1,C,Hogar,100.58,12,7,25.70058,-100.2018,Hogar Reunión,UT_DENSIDAD,TRAIN,El Ranchito Número Uno,Guadalupe,Nuevo León,G14C26,R,183,101,82,56
702,1,C,Hogar,73.24,13,0,25.67344,-100.26084,Hogar Reunión,UT_DENSIDAD,TRAIN,Guadalupe,Guadalupe,Nuevo León,G14C26,U,673616,334519,339097,171149
704,1,C,Base,107.23,13,0,25.68419,-100.22138,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN,Guadalupe,Guadalupe,Nuevo León,G14C26,U,673616,334519,339097,171149
125,1,BC,Hogar,141.9,10,6,25.69017,-100.25164,Clásico,UT_TRAFICO_VEHICULAR,TRAIN,Guadalupe,Guadalupe,Nuevo León,G14C26,U,673616,334519,339097,171149
279,1,C,Hogar,104.2,13,12,25.67484,-100.24412,Hogar Reunión,UT_DENSIDAD,TRAIN,Guadalupe,Guadalupe,Nuevo León,G14C26,U,673616,334519,339097,171149
127,1,BC,Hogar,132.0,12,5,25.66474,-100.20913,Hogar Reunión,UT_GAS_URBANA,TRAIN,Los Alamitos,Guadalupe,Nuevo León,G14C26,R,0,0,0,0
706,1,C,Hogar,120.87,13,0,25.73785,-100.20217,Hogar Reunión,UT_DENSIDAD,TRAIN,Caballerizas,Apodaca,Nuevo León,G14C16,R,12,5,7,3
129,1,BC,Base,83.99,13,10,25.6808,-100.24372,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN,Guadalupe,Guadalupe,Nuevo León,G14C26,U,673616,334519,339097,171149
268,1,C,Base,121.2,13,9,25.69481,-100.23052,Clásico,UT_GAS_URBANA,TRAIN,Guadalupe,Guadalupe,Nuevo León,G14C26,U,673616,334519,339097,171149
131,1,BC,Hogar,99.65,12,8,25.64911,-100.26649,Clásico,UT_DENSIDAD,TRAIN,Guadalupe,Guadalupe,Nuevo León,G14C26,U,673616,334519,339097,171149
716,1,C,Hogar,121.21,13,0,25.7105,-100.21547,Hogar Reunión,UT_DENSIDAD,TRAIN,Yesaki (San Miguel),Apodaca,Nuevo León,G14C26,R,0,0,0,0
722,1,C,Base,118.3,13,0,25.69569,-100.24609,Oficinistas,UT_TRAFICO_VEHICULAR,TRAIN,Guadalupe,Guadalupe,Nuevo León,G14C26,U,673616,334519,339097,171149
726,1,C,Hogar,113.96,13,0,25.72278,-100.15421,Hogar Reunión,UT_DENSIDAD,TRAIN,El Cerrito,Apodaca,Nuevo León,G14C26,R,0,0,0,0
135,1,BC,Hogar,124.5,12,7,25.69272,-100.25433,Clásico,UT_DENSIDAD,TRAIN,Guadalupe,Guadalupe,Nuevo León,G14C26,U,673616,334519,339097,171149
663,1,C,Base,115.76,13,0,25.71882,-100.16863,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN,Ninguno,Apodaca,Nuevo León,G14C26,R,0,0,0,0
639,1,C,Hogar,113.85,13,0,25.71143,-100.15224,Hogar Reunión,UT_DENSIDAD,TRAIN,Los Doctores,Guadalupe,Nuevo León,G14C26,R,0,0,0,0
642,1,C,Receso,88.39,13,0,25.70438,-100.22197,Oficinistas,UT_TRAFICO_PEATONAL,TRAIN,Guadalupe,Guadalupe,Nuevo León,G14C26,U,673616,334519,339097,171149
299,1,C,Hogar,94.0,10,9,25.68426,-100.21374,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN,Las Escobas,Guadalupe,Nuevo León,G14C26,R,5,0,0,1
298,1,C,Peatonal,103.3,13,5,25.67933,-100.24593,Oficinistas,UT_TRAFICO_PEATONAL,TRAIN,Guadalupe,Guadalupe,Nuevo León,G14C26,U,673616,334519,339097,171149
644,1,C,Base,105.69,13,0,25.7036,-100.15854,Hogar Reunión,UT_TRAFICO_PEATONAL,TRAIN,Los Doctores,Guadalupe,Nuevo León,G14C26,R,0,0,0,0
296,1,C,Hogar,86.0,13,5,25.66105,-100.25257,Clásico,UT_GAS_URBANA,TRAIN,Guadalupe,Guadalupe,Nuevo León,G14C26,U,673616,334519,339097,171149
