TIENDA_ID,LATITUD_NUM,LONGITUD_NUM,DATASET
126,25.69107,-100.21261,TRAIN
681,25.73571,-100.18086,TRAIN
117,25.71883,-100.19133,TRAIN
682,25.66952,-100.20744,TRAIN
275,25.73766,-100.16116,TRAIN
684,25.70486,-100.15613,TRAIN
694,25.67955,-100.24328,TRAIN
272,25.70058,-100.2018,TRAIN
702,25.67344,-100.26084,TRAIN
704,25.68419,-100.22138,TRAIN
125,25.69017,-100.25164,TRAIN
279,25.67484,-100.24412,TRAIN
127,25.66474,-100.20913,TRAIN
706,25.73785,-100.20217,TRAIN
129,25.6808,-100.24372,TRAIN
268,25.69481,-100.23052,TRAIN
131,25.64911,-100.26649,TRAIN
716,25.7105,-100.21547,TRAIN
722,25.69569,-100.24609,TRAIN
726,25.72278,-100.15421,TRAIN
135,25.69272,-100.25433,TRAIN
663,25.71882,-100.16863,TRAIN
639,25.71143,-100.15224,TRAIN
642,25.70438,-100.22197,TRAIN
299,25.68426,-100.21374,TRAIN
298,25.67933,-100.24593,TRAIN
644,25.7036,-100.15854,TRAIN
296,25.66105,-100.25257,TRAIN
652,25.65635,-100.26234,TRAIN
653,25.69885,-100.12075,TRAIN
292,25.72188,-100.20232,TRAIN
291,25.68419,-100.24388,TRAIN
731,25.67493,-100.20706,TRAIN
289,25.70314,-100.23122,TRAIN
288,25.67442,-100.20493,TRAIN
667,25.73719,-100.15527,TRAIN
668,25.72812,-100.18563,TRAIN
285,25.64192,-100.26826,TRAIN
671,25.67863,-100.26725,TRAIN
674,25.69528,-100.20643,TRAIN
281,25.69659,-100.25507,TRAIN
677,25.68325,-100.23067,TRAIN
834,25.70647,-100.22508,TRAIN
792,25.67762,-100.25978,TRAIN
164,25.73369,-100.19908,TRAIN
231,25.70295,-100.25852,TRAIN
823,25.66404,-100.23363,TRAIN
824,25.7371,-100.16613,TRAIN
182,25.68312,-100.2139,TRAIN
223,25.66976,-100.23605,TRAIN
828,25.6678,-100.2209,TRAIN
832,25.66925,-100.237,TRAIN
245,25.73065,-100.18657,TRAIN
188,25.68763,-100.24615,TRAIN
191,25.69273,-100.24576,TRAIN
847,25.71567,-100.1601,TRAIN
193,25.73871,-100.18913,TRAIN
212,25.69344,-100.1831,TRAIN
211,25.74447,-100.17476,TRAIN
199,25.72332,-100.19058,TRAIN
873,25.69741,-100.13975,TRAIN
254,25.66872,-100.2344,TRAIN
735,25.71611,-100.18296,TRAIN
746,25.6867,-100.19352,TRAIN
141,25.68098,-100.23912,TRAIN
259,25.67765,-100.2596,TRAIN
753,25.72788,-100.18008,TRAIN
754,25.71732,-100.19217,TRAIN
145,25.66404,-100.21449,TRAIN
765,25.69325,-100.23738,TRAIN
766,25.72372,-100.14054,TRAIN
395,25.67661,-100.24879,TRAIN
253,25.72968,-100.17269,TRAIN
769,25.69461,-100.17078,TRAIN
152,25.66861,-100.24023,TRAIN
783,25.6989,-100.1506,TRAIN
789,25.71404,-100.17443,TRAIN
248,25.70751,-100.19946,TRAIN
156,25.67567,-100.22221,TRAIN
247,25.69494,-100.21911,TRAIN
474,25.71698,-100.13154,TRAIN
453,25.74442,-100.16092,TRAIN
455,25.73055,-100.18982,TRAIN
366,25.66606,-100.26935,TRAIN
365,25.6751,-100.21091,TRAIN
456,25.74066,-100.1661,TRAIN
457,25.73088,-100.15723,TRAIN
458,25.70524,-100.20732,TRAIN
361,25.71936,-100.16773,TRAIN
464,25.70318,-100.24274,TRAIN
358,25.70128,-100.16365,TRAIN
447,25.73034,-100.16336,TRAIN
356,25.66098,-100.26814,TRAIN
355,25.66743,-100.25439,TRAIN
484,25.71093,-100.13501,TRAIN
493,25.68103,-100.25271,TRAIN
352,25.74532,-100.17814,TRAIN
351,25.67929,-100.26519,TRAIN
495,25.66923,-100.23264,TRAIN
503,25.67292,-100.25155,TRAIN
348,25.69414,-100.1901,TRAIN
506,25.70051,-100.18745,TRAIN
401,25.71205,-100.16304,TRAIN
389,25.74648,-100.19411,TRAIN
402,25.72369,-100.16661,TRAIN
404,25.67993,-100.25752,TRAIN
406,25.6645,-100.26545,TRAIN
407,25.73733,-100.20671,TRAIN
409,25.66723,-100.22505,TRAIN
411,25.70931,-100.1846,TRAIN
417,25.66245,-100.23941,TRAIN
423,25.6728,-100.23769,TRAIN
635,25.6638,-100.25769,TRAIN
425,25.73241,-100.17578,TRAIN
427,25.73371,-100.18386,TRAIN
431,25.66744,-100.2239,TRAIN
433,25.70933,-100.23586,TRAIN
438,25.69605,-100.21036,TRAIN
374,25.72258,-100.14044,TRAIN
439,25.71549,-100.20702,TRAIN
372,25.65999,-100.23217,TRAIN
441,25.72353,-100.17124,TRAIN
446,25.68774,-100.18129,TRAIN
612,25.74353,-100.17685,TRAIN
587,25.72789,-100.1931,TRAIN
346,25.74205,-100.19846,TRAIN
322,25.65836,-100.22371,TRAIN
321,25.70853,-100.15266,TRAIN
591,25.65561,-100.22113,TRAIN
302,25.67635,-100.26692,TRAIN
633,25.72512,-100.18482,TRAIN
616,25.70758,-100.16037,TRAIN
306,25.67946,-100.2584,TRAIN
307,25.66859,-100.26665,TRAIN
593,25.74583,-100.16589,TRAIN
509,25.66655,-100.21398,TRAIN
611,25.68666,-100.23036,TRAIN
318,25.74066,-100.16799,TRAIN
317,25.66909,-100.26294,TRAIN
594,25.72671,-100.17316,TRAIN
315,25.65235,-100.26606,TRAIN
314,25.67509,-100.26958,TRAIN
597,25.6714,-100.21653,TRAIN
598,25.68012,-100.22238,TRAIN
599,25.67213,-100.23018,TRAIN
585,25.66144,-100.21849,TRAIN
519,25.68449,-100.2262,TRAIN
536,25.6581,-100.22496,TRAIN
541,25.70214,-100.25043,TRAIN
557,25.6704,-100.21162,TRAIN
559,25.72444,-100.15672,TRAIN
562,25.69635,-100.20652,TRAIN
564,25.68658,-100.21385,TRAIN
571,25.74155,-100.18463,TRAIN
332,25.69665,-100.14323,TRAIN
324,25.69969,-100.21334,TRAIN
582,25.69596,-100.18514,TRAIN
583,25.66215,-100.22198,TRAIN
329,25.70334,-100.239,TRAIN
575,25.6737,-100.27038,TRAIN
326,25.7292,-100.17807,TRAIN
328,25.69583,-100.23188,TRAIN
327,25.67151,-100.25856,TRAIN
878,26.03851,-98.35729,TRAIN
856,26.04652,-98.38172,TRAIN
855,26.04971,-98.31442,TRAIN
854,26.04082,-98.31979,TRAIN
848,26.09732,-98.29138,TRAIN
851,26.06185,-98.32044,TRAIN
853,25.97227,-98.29033,TRAIN
798,25.99222,-98.09663,TRAIN
802,25.9898,-98.1002,TRAIN
803,25.9872,-98.1074,TRAIN
805,26.0835,-98.33,TRAIN
806,26.069,-98.2719,TRAIN
807,26.07896,-98.33792,TRAIN
808,26.02103,-98.27533,TRAIN
809,26.03188,-98.34141,TRAIN
839,26.08506,-98.27164,TRAIN
811,26.0562,-98.3151,TRAIN
813,25.992,-98.114,TRAIN
816,26.09528,-98.28297,TRAIN
817,26.08866,-98.27988,TRAIN
819,26.0669,-98.39358,TRAIN
822,25.98347,-98.11129,TRAIN
835,26.01647,-98.25479,TRAIN
999,26.02147,-98.28373,TRAIN
988,26.03533,-98.29644,TRAIN
989,26.0434,-98.32001,TRAIN
991,26.01263,-98.24741,TRAIN
992,26.10101,-98.31804,TRAIN
993,26.06883,-98.3598,TRAIN
994,26.08696,-98.33805,TRAIN
995,26.03482,-98.40996,TRAIN
